0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:13 +0700] "POST /zio.com/api-cart HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:15 +0700] "GET /zio.com/cart HTTP/1.1" 200 15410
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:23 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:23 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:27 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:27 +0700] "GET /zio.com/admin-home HTTP/1.1" 200 7715
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:27 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:27 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:30 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 12260
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:30 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:30 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:15:30 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:19 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=3&sortName=code&sortBy=desc HTTP/1.1" 200 12260
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:19 +0700] "GET /zio.com/ckeditor/ckeditor.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:19 +0700] "GET /zio.com/template/images/image35.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:19 +0700] "GET /zio.com/template/images/image34.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:21 +0700] "GET /zio.com/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:21 +0700] "GET /zio.com/dang-nhap?action=login HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:30 +0700] "POST /zio.com/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:30 +0700] "GET /zio.com/trang-chu HTTP/1.1" 200 6891
0:0:0:0:0:0:0:1 - - [09/May/2020:08:21:32 +0700] "GET /zio.com/cart HTTP/1.1" 200 15410
