0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36668
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39715
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:45 +0700] "GET /zio.com/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:49 +0700] "GET /zio.com/admin-slide-image HTTP/1.1" 200 12951
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:49 +0700] "GET /zio.com/slideimage?col=image1 HTTP/1.1" 500 316774
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:49 +0700] "GET /zio.com/slideimage?col=image2 HTTP/1.1" 500 324240
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:49 +0700] "GET /zio.com/slideimage?col=image3 HTTP/1.1" 500 166054
0:0:0:0:0:0:0:1 - - [10/Jul/2020:20:48:51 +0700] "GET /zio.com/admin-product?type=list&page=1&maxPageItem=4&sortName=id&sortBy=desc HTTP/1.1" 200 17009
